id,value
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844#diversity_1.969746808288638_to_2.231235432577276,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844#diversity_1.969746808288638_to_2.231235432577276#betweenness_=_0.003040202,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844#diversity_1.708258184_to_1.969746808288638,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844#diversity_1.708258184_to_1.969746808288638#betweennes_0.010321565437866971_to_0.014036258375733943,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844#diversity_1.708258184_to_1.969746808288638#betweennes_0.002892179562133029_to_0.0066068725,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844#diversity_1.708258184_to_1.969746808288638#betweennes_-0.0008225133757339426_to_0.002892179562133029,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844#diversity_1.446769559711362_to_1.708258184,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_0.0022423874460467297_to_0.002997160026708844#diversity_1.446769559711362_to_1.708258184#betweenness_=_0.002814466,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_-2.1930295939611875e-05_to_0.000732842284722502,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_-2.1930295939611875e-05_to_0.000732842284722502#diversity_1.2498430882_to_1.355802335239179,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_-2.1930295939611875e-05_to_0.000732842284722502#diversity_1.2498430882_to_1.355802335239179#betweennes_0.000526888_to_0.000946307,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_-2.1930295939611875e-05_to_0.000732842284722502#diversity_1.2498430882_to_1.355802335239179#betweennes_-0.00031194999999999997_to_0.00010746900000000001,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_-2.1930295939611875e-05_to_0.000732842284722502#diversity_1.355802335239179_to_1.4617615822783578,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_-2.1930295939611875e-05_to_0.000732842284722502#diversity_1.355802335239179_to_1.4617615822783578#betweenness_=_3.91e-05,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_-2.1930295939611875e-05_to_0.000732842284722502#diversity_1.0379245941216422_to_1.143883841160821,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_-2.1930295939611875e-05_to_0.000732842284722502#diversity_1.0379245941216422_to_1.143883841160821#betweenness_=_0.000177945,1
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_-2.1930295939611875e-05_to_0.000732842284722502#diversity_1.143883841160821_to_1.2498430882,
root#degree_7.092964824120603_to_19.76961216055113#peel_5.504255778369309_to_7.4#pagerank_label_-2.1930295939611875e-05_to_0.000732842284722502#diversity_1.143883841160821_to_1.2498430882#betweenness_=_1.65e-05,1
